"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 07 14:31:15 MSK 2023","Fri Jul 07 14:31:21 MSK 2023","6267","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidPhoneTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidPhoneTest","registrationClientByInvalidPhoneNumber","Регистрация клиента с невалидным номером телефона Убедиться, что при вводе невалидного номера телефона: +123456789 появляется ошибка: Введите корректный номер",""
"passed","Fri Jul 07 14:32:04 MSK 2023","Fri Jul 07 14:32:08 MSK 2023","4311","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidPhoneTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidPhoneTest","registrationClientByInvalidPhoneNumber","Регистрация клиента с невалидным номером телефона Убедиться, что при вводе невалидного номера телефона: A23456789 появляется ошибка: Введите корректный номер",""
"passed","Fri Jul 07 14:30:52 MSK 2023","Fri Jul 07 14:30:59 MSK 2023","6905","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.ValidEmailTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.ValidEmailTest","registrationClientByAcceptedEmail","Регистрация клиента с валидным email: Убедиться, что при вводе допустимого  email: user@example.c возможна регистрация",""
"passed","Fri Jul 07 14:34:38 MSK 2023","Fri Jul 07 14:34:42 MSK 2023","4073","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","registrationClientByInvalidEmail","Регистрация клиента с невалидным email: Убедиться, что при вводе невалидного email: user@sub{sub.com появляется ошибка: Поле E-Mail должно быть действительным электронным адресом.",""
"passed","Fri Jul 07 14:32:26 MSK 2023","Fri Jul 07 14:32:49 MSK 2023","23274","","ru.gasworkers.dev.tests.web.registration.bgClientRegistration.RepairBGRegistrationTest","","ru.gasworkers.dev.tests.web.registration.bgClientRegistration.RepairBGRegistrationTest","bgRegistrationPhoneRepair","Фоновая Регистрация на Ремонт с указанием телефона и почты",""
"passed","Fri Jul 07 14:33:10 MSK 2023","Fri Jul 07 14:33:16 MSK 2023","5559","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","registrationClientByInvalidEmail","Регистрация клиента с невалидным email: Убедиться, что при вводе невалидного email: user@.com появляется ошибка: Поле E-Mail должно быть действительным электронным адресом.",""
"passed","Fri Jul 07 14:32:23 MSK 2023","Fri Jul 07 14:32:27 MSK 2023","4498","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidPhoneTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidPhoneTest","registrationClientByInvalidPhoneNumber","Регистрация клиента с невалидным номером телефона Убедиться, что при вводе невалидного номера телефона: +12-345-678 появляется ошибка: Введите корректный номер",""
"passed","Fri Jul 07 14:34:41 MSK 2023","Fri Jul 07 14:34:45 MSK 2023","4188","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","registrationClientByInvalidEmail","Регистрация клиента с невалидным email: Убедиться, что при вводе невалидного email: user@sub*sub.com появляется ошибка: Поле E-Mail должно быть действительным электронным адресом.",""
"passed","Fri Jul 07 14:32:49 MSK 2023","Fri Jul 07 14:33:23 MSK 2023","33979","","ru.gasworkers.dev.tests.web.registration.bgClientRegistration.VideoBGRegistrationTest","","ru.gasworkers.dev.tests.web.registration.bgClientRegistration.VideoBGRegistrationTest","bgRegistrationNowVideo","Фоновая Регистрация на Видео Сейчас с указанием телефона и почты на сегодняшнюю дату с одним оборудованием",""
"passed","Fri Jul 07 14:45:09 MSK 2023","Fri Jul 07 14:45:51 MSK 2023","42235","","ru.gasworkers.dev.tests.web.integration.consultation.FinishConsultationTest","","ru.gasworkers.dev.tests.web.integration.consultation.FinishConsultationTest","consultationNow","Завершение консультации сейчас Консультация 1 кейс",""
"passed","Fri Jul 07 14:33:23 MSK 2023","Fri Jul 07 14:33:45 MSK 2023","21990","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.ByEmailUsualClientRegistrationTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.ByEmailUsualClientRegistrationTest","registrationClientByEmail","Регистрация клиента по email и проверка состояния кабинета",""
"passed","Fri Jul 07 14:34:22 MSK 2023","Fri Jul 07 14:34:27 MSK 2023","4901","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","registrationClientByInvalidEmail","Регистрация клиента с невалидным email: Убедиться, что при вводе невалидного email: user@example.verylongdomainnameeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee появляется ошибка: Поле E-Mail должно быть действительным электронным адресом.",""
"passed","Fri Jul 07 14:32:58 MSK 2023","Fri Jul 07 14:33:03 MSK 2023","5884","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","registrationClientByInvalidEmail","Регистрация клиента с невалидным email: Убедиться, что при вводе невалидного email: user@example-. появляется ошибка: Поле E-Mail должно быть действительным электронным адресом.",""
"passed","Fri Jul 07 14:32:27 MSK 2023","Fri Jul 07 14:32:32 MSK 2023","4571","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","registrationClientByInvalidEmail","Регистрация клиента с невалидным email: Убедиться, что при вводе невалидного email: user появляется ошибка: Поле E-Mail должно быть действительным электронным адресом.",""
"passed","Fri Jul 07 14:33:52 MSK 2023","Fri Jul 07 14:33:57 MSK 2023","4513","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","registrationClientByInvalidEmail","Регистрация клиента с невалидным email: Убедиться, что при вводе невалидного email: user@sub..sub.com"" появляется ошибка: Поле E-Mail должно быть действительным электронным адресом.",""
"passed","Fri Jul 07 14:32:43 MSK 2023","Fri Jul 07 14:32:50 MSK 2023","6968","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","registrationClientByInvalidEmail","Регистрация клиента с невалидным email: Убедиться, что при вводе невалидного email: user@example. появляется ошибка: Поле E-Mail должно быть действительным электронным адресом.",""
"passed","Fri Jul 07 14:34:06 MSK 2023","Fri Jul 07 14:34:22 MSK 2023","16566","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.PasswordGeneratorUsualClientRegistrationTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.PasswordGeneratorUsualClientRegistrationTest","registrationClientWithGeneratedPasswordByPhone","Регистрация со Сгенерированным паролем",""
"passed","Fri Jul 07 14:34:26 MSK 2023","Fri Jul 07 14:34:30 MSK 2023","4175","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","registrationClientByInvalidEmail","Регистрация клиента с невалидным email: Убедиться, что при вводе невалидного email: user@sub(sub.com появляется ошибка: Поле E-Mail должно быть действительным электронным адресом.",""
"passed","Fri Jul 07 14:34:17 MSK 2023","Fri Jul 07 14:34:21 MSK 2023","4145","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","registrationClientByInvalidEmail","Регистрация клиента с невалидным email: Убедиться, что при вводе невалидного email: user@sub'sub.com появляется ошибка: Поле E-Mail должно быть действительным электронным адресом.",""
"passed","Fri Jul 07 14:32:37 MSK 2023","Fri Jul 07 14:32:43 MSK 2023","5964","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","registrationClientByInvalidEmail","Регистрация клиента с невалидным email: Убедиться, что при вводе невалидного email: user@example появляется ошибка: Поле E-Mail   должно быть действительным электронным адресом.",""
"passed","Fri Jul 07 14:34:47 MSK 2023","Fri Jul 07 14:34:51 MSK 2023","4116","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","registrationClientByInvalidEmail","Регистрация клиента с невалидным email: Убедиться, что при вводе невалидного email: user@sub$sub.com появляется ошибка: Поле E-Mail должно быть действительным электронным адресом.",""
"passed","Fri Jul 07 14:34:51 MSK 2023","Fri Jul 07 14:34:56 MSK 2023","4359","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","registrationClientByInvalidEmail","Регистрация клиента с невалидным email: Убедиться, что при вводе невалидного email: user@sub!sub.com появляется ошибка: Поле E-Mail должно быть действительным электронным адресом.",""
"passed","Fri Jul 07 14:32:50 MSK 2023","Fri Jul 07 14:32:58 MSK 2023","7871","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","registrationClientByInvalidEmail","Регистрация клиента с невалидным email: Убедиться, что при вводе невалидного email: user@-example. появляется ошибка: Поле E-Mail должно быть действительным электронным адресом.",""
"passed","Fri Jul 07 14:31:55 MSK 2023","Fri Jul 07 14:31:59 MSK 2023","4077","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidPhoneTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidPhoneTest","registrationClientByInvalidPhoneNumber","Регистрация клиента с невалидным номером телефона Убедиться, что при вводе невалидного номера телефона: (123)456-789 появляется ошибка: Введите корректный номер",""
"passed","Fri Jul 07 14:34:21 MSK 2023","Fri Jul 07 14:34:26 MSK 2023","4758","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","registrationClientByInvalidEmail","Регистрация клиента с невалидным email: Убедиться, что при вводе невалидного email: user@sub?sub.com появляется ошибка: Поле E-Mail должно быть действительным электронным адресом.",""
"passed","Fri Jul 07 14:33:57 MSK 2023","Fri Jul 07 14:34:02 MSK 2023","4925","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","registrationClientByInvalidEmail","Регистрация клиента с невалидным email: Убедиться, что при вводе невалидного email: user@sub-.com появляется ошибка: Поле E-Mail должно быть действительным электронным адресом.",""
"passed","Fri Jul 07 14:31:46 MSK 2023","Fri Jul 07 14:31:51 MSK 2023","4330","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidPhoneTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidPhoneTest","registrationClientByInvalidPhoneNumber","Регистрация клиента с невалидным номером телефона Убедиться, что при вводе невалидного номера телефона: 123;456;789 появляется ошибка: Введите корректный номер",""
"passed","Fri Jul 07 14:30:59 MSK 2023","Fri Jul 07 14:31:07 MSK 2023","8247","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.ValidEmailTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.ValidEmailTest","registrationClientByAcceptedEmail","Регистрация клиента с валидным email: Убедиться, что при вводе допустимого  email: user@sub.sub.sub.com возможна регистрация",""
"passed","Fri Jul 07 14:31:21 MSK 2023","Fri Jul 07 14:31:26 MSK 2023","4950","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidPhoneTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidPhoneTest","registrationClientByInvalidPhoneNumber","Регистрация клиента с невалидным номером телефона Убедиться, что при вводе невалидного номера телефона: 123-456-789 появляется ошибка: Введите корректный номер",""
"passed","Fri Jul 07 14:34:54 MSK 2023","Fri Jul 07 14:34:58 MSK 2023","4236","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","registrationClientByInvalidEmail","Регистрация клиента с невалидным email: Убедиться, что при вводе невалидного email: user@sub+sub.com появляется ошибка: Поле E-Mail должно быть действительным электронным адресом.",""
"passed","Fri Jul 07 14:33:25 MSK 2023","Fri Jul 07 14:33:32 MSK 2023","7197","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","registrationClientByInvalidEmail","Регистрация клиента с невалидным email: Убедиться, что при вводе невалидного email: user@-example.com появляется ошибка: Поле E-Mail должно быть действительным электронным адресом.",""
"passed","Fri Jul 07 14:32:17 MSK 2023","Fri Jul 07 14:32:23 MSK 2023","5567","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidPhoneTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidPhoneTest","registrationClientByInvalidPhoneNumber","Регистрация клиента с невалидным номером телефона Убедиться, что при вводе невалидного номера телефона: 12/345/678 появляется ошибка: Введите корректный номер",""
"passed","Fri Jul 07 14:32:12 MSK 2023","Fri Jul 07 14:32:17 MSK 2023","4830","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidPhoneTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidPhoneTest","registrationClientByInvalidPhoneNumber","Регистрация клиента с невалидным номером телефона Убедиться, что при вводе невалидного номера телефона: 12-345-678 появляется ошибка: Введите корректный номер",""
"passed","Fri Jul 07 14:34:12 MSK 2023","Fri Jul 07 14:34:17 MSK 2023","4317","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","registrationClientByInvalidEmail","Регистрация клиента с невалидным email: Убедиться, что при вводе невалидного email: user@sub:sub.com появляется ошибка: Поле E-Mail должно быть действительным электронным адресом.",""
"passed","Fri Jul 07 14:34:45 MSK 2023","Fri Jul 07 14:34:49 MSK 2023","4109","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","registrationClientByInvalidEmail","Регистрация клиента с невалидным email: Убедиться, что при вводе невалидного email: user@sub)sub.com появляется ошибка: Поле E-Mail должно быть действительным электронным адресом.",""
"passed","Fri Jul 07 14:31:26 MSK 2023","Fri Jul 07 14:31:32 MSK 2023","5765","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidPhoneTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidPhoneTest","registrationClientByInvalidPhoneNumber","Регистрация клиента с невалидным номером телефона Убедиться, что при вводе невалидного номера телефона: 123.456.789 появляется ошибка: Введите корректный номер",""
"passed","Fri Jul 07 14:31:59 MSK 2023","Fri Jul 07 14:32:04 MSK 2023","4813","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidPhoneTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidPhoneTest","registrationClientByInvalidPhoneNumber","Регистрация клиента с невалидным номером телефона Убедиться, что при вводе невалидного номера телефона: 12345678A появляется ошибка: Введите корректный номер",""
"passed","Fri Jul 07 14:33:03 MSK 2023","Fri Jul 07 14:33:10 MSK 2023","7059","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","registrationClientByInvalidEmail","Регистрация клиента с невалидным email: Убедиться, что при вводе невалидного email: user@example.. появляется ошибка: Поле E-Mail должно быть действительным электронным адресом.",""
"passed","Fri Jul 07 14:33:16 MSK 2023","Fri Jul 07 14:33:25 MSK 2023","8769","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","registrationClientByInvalidEmail","Регистрация клиента с невалидным email: Убедиться, что при вводе невалидного email: user@example-.com появляется ошибка: Поле E-Mail должно быть действительным электронным адресом.",""
"passed","Fri Jul 07 14:34:08 MSK 2023","Fri Jul 07 14:34:12 MSK 2023","4721","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","registrationClientByInvalidEmail","Регистрация клиента с невалидным email: Убедиться, что при вводе невалидного email: user@sub;sub.com появляется ошибка: Поле E-Mail должно быть действительным электронным адресом.",""
"passed","Fri Jul 07 14:33:46 MSK 2023","Fri Jul 07 14:33:52 MSK 2023","6091","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","registrationClientByInvalidEmail","Регистрация клиента с невалидным email: Убедиться, что при вводе невалидного email: user@sub.sub."" появляется ошибка: Поле E-Mail должно быть действительным электронным адресом.",""
"passed","Fri Jul 07 14:34:34 MSK 2023","Fri Jul 07 14:34:38 MSK 2023","4025","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","registrationClientByInvalidEmail","Регистрация клиента с невалидным email: Убедиться, что при вводе невалидного email: user@sub]sub.com появляется ошибка: Поле E-Mail должно быть действительным электронным адресом.",""
"passed","Fri Jul 07 14:33:38 MSK 2023","Fri Jul 07 14:33:46 MSK 2023","8132","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","registrationClientByInvalidEmail","Регистрация клиента с невалидным email: Убедиться, что при вводе невалидного email: user@verylongdomainnameeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee.com появляется ошибка: Поле E-Mail должно быть действительным электронным адресом.",""
"passed","Fri Jul 07 14:30:45 MSK 2023","Fri Jul 07 14:31:22 MSK 2023","36288","","ru.gasworkers.dev.tests.web.client.newClient.AccountStateNewClientAfterVideoBGRegistrationTest","","ru.gasworkers.dev.tests.web.client.newClient.AccountStateNewClientAfterVideoBGRegistrationTest","accountStateAfterBGVideo","Состояние Кабинета СМЗ - Кабинет после Фоновой Регистрации на Видео Сейчас с указанием телефона и почты на сегодняшнюю дату с одним оборудованием",""
"passed","Fri Jul 07 14:33:32 MSK 2023","Fri Jul 07 14:33:38 MSK 2023","6014","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","registrationClientByInvalidEmail","Регистрация клиента с невалидным email: Убедиться, что при вводе невалидного email: user@example..com появляется ошибка: Поле E-Mail должно быть действительным электронным адресом.",""
"passed","Fri Jul 07 14:32:08 MSK 2023","Fri Jul 07 14:32:12 MSK 2023","4171","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidPhoneTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidPhoneTest","registrationClientByInvalidPhoneNumber","Регистрация клиента с невалидным номером телефона Убедиться, что при вводе невалидного номера телефона: 12.345.678 появляется ошибка: Введите корректный номер",""
"failed","Fri Jul 07 14:29:29 MSK 2023","Fri Jul 07 14:30:11 MSK 2023","41490","","ru.gasworkers.dev.tests.web.selfEmployed.NewSelfEmployedAccountTest","","ru.gasworkers.dev.tests.web.selfEmployed.NewSelfEmployedAccountTest","accountStateNewSelfEmployedTest","Кабинет СМЗ после регистрации",""
"passed","Fri Jul 07 14:34:42 MSK 2023","Fri Jul 07 14:34:47 MSK 2023","4986","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","","ru.gasworkers.dev.tests.web.registration.usualRegistration.usualClientRegistration.credentialsValidation.InvalidEmailTest","registrationClientByInvalidEmail","Регистрация клиента с невалидным email: Убедиться, что при вводе невалидного email: user@sub=sub.com появляется ошибка: Поле E-Mail должно быть действительным электронным адресом.",""
